,links
0,1UP.com
1,1Up.com
2,Academy of Interactive Arts & Sciences
3,Action game
4,Adhesive
5,Alliteration
6,Amazon Luna
7,Analog stick
8,Anime
9,Arcade game
10,Astronaut
11,Bandai Namco Games
12,Battlezone (1980 video game)
13,Beatmania
14,Beautiful Katamari
15,Bemani
16,Bleeding Cool
17,Boss Fight Books
18,Charlie Kosei
19,Computing platform
20,Constellation
21,Crazy Taxi
22,Cult classic
23,Dance Dance Revolution
24,Donut County
25,Doug Lowenstein
26,DualShock
27,E3 2004
28,Earth
29,Edge (magazine)
30,Electronic Arts
31,Electronic Gaming Monthly
32,Emotion Engine
33,Enterbrain
34,Entertainment Software Association
35,Eurogamer
36,Famitsu
37,Future plc
38,G-Phoria
39,G4 (U.S. TV channel)
40,Gamasutra
41,GameCube
42,GamePro
43,GameRevolution
44,GameSpot
45,GameSpy
46,Game Developers Choice Awards
47,Game Developers Conference
48,Game Informer
49,Game Revolution
50,Google Stadia
51,Greatest video games of all time
52,GuitarFreaks
53,IGN
54,ISBN (identifier)
55,I Love Katamari
56,Intellectual property
57,International Game Developers Association
58,J-pop
59,Japan
60,Japan Media Arts Festival
61,Japanese culture
62,Japanese language
63,Jeff Gerstmann
64,Kanji
65,Katamari
66,Katamari Amore
67,Katamari Damacy Mobile
68,Katamari Forever
69,Keita Takahashi
70,King of All Cosmos
71,Konami
72,Korogashi Puzzle Katamari Damacy
73,List of video games in the Museum of Modern Art
74,Lupin III
75,MBW (identifier)
76,Masaya Nakamura (businessman)
77,Me & My Katamari
78,Metacritic
79,Mojib-Ribbon
80,Moon
81,Multiplayer
82,Musashino Art University
83,Museum of Modern Art
84,Music of the Katamari Damacy series
85,Namco
86,New York Museum of Modern Art
87,Nintendo
88,Nintendo 64
89,Nintendo Life
90,Nintendo Switch
91,Noby Noby Boy
92,North America
93,Now Production
94,Official U.S. PlayStation Magazine
95,Osaka
96,Pac-Man
97,Paola Antonelli
98,PlayStation 2
99,PlayStation 4
100,Polygon (website)
101,Puzzle video game
102,Rendaku
103,Ridge Racer (video game)
104,"Rock, Paper, Shotgun"
105,Score attack
106,Self-reference
107,Shibuya-kei
108,Single-player
109,Sleeper hit
110,Software development kit
111,Sony Computer Entertainment
112,Soulcalibur (video game)
113,Split screen (computer graphics)
114,Sports day
115,Star
116,Sukeban Deka 3
117,Surrealism
118,TechTV
119,The Guardian
120,The Wonderful End of the World
121,Time (magazine)
122,Tokyo Game Show
123,Touch My Katamari
124,Transliteration
125,United States
126,Unity game engine
127,VentureBeat
128,Video game
129,Video game artist
130,Video game composer
131,Video game creative director
132,Video game designer
133,Video game developer
134,Video game genre
135,Video game producer
136,Video game programmer
137,Video game publisher
138,Voice actor
139,We Love Katamari
140,Windows
141,Xbox One
142,Yui Asaka
143,Yuu Miyake
144,Wikipedia:Featured articles
145,Template:Katamari
146,Template talk:Katamari
147,Help:Authority control
148,Category:Articles with MusicBrainz work identifiers
149,Category:Use mdy dates from July 2019
